video,num_frames,channel_length,turning_point,max_position,end_position,output_path
1,11227,100.0,11225.0,100.0,100.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_1_movement_estimation.npz
2,4484,100.0,2018.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_2_movement_estimation.npz
3,1990,100.0,902.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_3_movement_estimation.npz
4,2818,100.0,1577.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_4_movement_estimation.npz
5,6699,100.0,2474.0,100.0,1.4210854715202004e-14,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_5_movement_estimation.npz
6,2614,100.0,1459.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_6_movement_estimation.npz
7,1899,100.0,736.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_7_movement_estimation.npz
8,1541,100.0,371.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_8_movement_estimation.npz
9,9881,100.0,4220.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_9_movement_estimation.npz
10,1591,100.0,917.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_10_movement_estimation.npz
11,1505,100.0,743.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_11_movement_estimation.npz
12,2127,100.0,1015.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_12_movement_estimation.npz
13,3781,100.0,1235.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_13_movement_estimation.npz
14,1389,100.0,557.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_14_movement_estimation.npz
15,1414,100.0,569.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_15_movement_estimation.npz
16,2881,100.0,1146.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_16_movement_estimation.npz
17,2174,100.0,2172.0,100.0,100.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_17_movement_estimation.npz
18,1260,100.0,620.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_18_movement_estimation.npz
19,1680,100.0,567.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_19_movement_estimation.npz
20,2925,100.0,843.0,100.0,0.0,/Users/kepler/hacksew/mySolution/results/saved_bonus_movement_estimations/bonus_video_20_movement_estimation.npz
