video,has_ground_truth,num_frames_compared,path_mae_m,path_mae_normalized,turning_point_estimated,turning_point_measured,turning_point_error_frames,direction_accuracy
10,True,2168,10.112982697398294,0.12612909005626657,1372.0,1364.0,8.0,0.9437269372693727
11,True,1044,2.524414405339485,0.06435656197610744,581.0,586.0,5.0,0.8553639846743295
1,True,3957,7.948571635142705,0.08158383124005084,2858.0,2869.0,11.0,0.6606014657568865
2,True,2844,6.40231026531399,0.06956060417874746,1441.0,1430.0,11.0,0.8772855133614628
3,True,1502,3.626620146464303,0.0919668081254478,746.0,710.0,36.0,0.7436750998668442
4,True,1411,2.3242136920602734,0.05870279392868658,863.0,855.0,8.0,0.7519489723600283
5,False,,,,1706.0,,,
6,False,,,,2459.0,,,
7,False,,,,1304.0,,,
8,True,1500,7.567489522040374,0.12611092135561247,732.0,718.0,14.0,0.73
9,True,1317,6.691633568730295,0.11236225510661835,716.0,710.0,6.0,0.9331814730447988
average_labeled,True,,5.899779491561215,0.09134660824594218,,,12.375,0.8119729307917154
